"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=jdk.internal.util.EnvUtils"
"main", "5", "SYSTEM", "Method Call", "caller=SYSTEM, target=Lsun/misc/PostVMInitHook;.trackJavaUsage()"
"main", "6", "SYSTEM", "Method Call", "caller=Lsun/misc/PostVMInitHook;.trackJavaUsage(), target=Lsun/misc/PostVMInitHook;.trackJavaUsage()"
"main", "7", "SYSTEM", "Method Call", "caller=Lsun/misc/PostVMInitHook;.trackJavaUsage(), target=Lsun/misc/PostVMInitHook;.getConfigFilePrivileged()"
"main", "8", "SYSTEM", "Method Call", "caller=Lsun/misc/PostVMInitHook;.getConfigFilePrivileged(), target=Lsun/misc/PostVMInitHook;.getOSSpecificConfigFilePath()"
"main", "9", "SYSTEM", "Method Call", "caller=Lsun/misc/PostVMInitHook;.getOSSpecificConfigFilePath(), target=Lsun/misc/PostVMInitHook;.getEnvPrivileged(Ljava/lang/String;)"
"main", "10", "SYSTEM", "Method Call", "caller=Lsun/misc/PostVMInitHook;.getEnvPrivileged(Ljava/lang/String;), target=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;)"
"main", "11", "SYSTEM", "Method Call", "caller=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), target=Lsun/misc/PostVMInitHook$2;.run() <BRIDGE>"
"main", "12", "SYSTEM", "Method Call", "caller=Lsun/misc/PostVMInitHook$2;.run() <BRIDGE>, target=Lsun/misc/PostVMInitHook$2;.run() <BRIDGE>"
"main", "13", "SYSTEM", "Method Call", "caller=Lsun/misc/PostVMInitHook$2;.run() <BRIDGE>, target=jdk.internal.util.EnvUtils#getEnvVar:1"
"main", "14", "SYSTEM", "Method Entered", ""
"main", "15", "SYSTEM", "Variable Write", "context=jdk.internal.util.EnvUtils#getEnvVar:1, result=""C:\ProgramData"""
"main", "16", "SYSTEM", "Method Exit", "returner=jdk.internal.util.EnvUtils#getEnvVar:1, value=""C:\ProgramData"""
"main", "17", "SYSTEM", "Method Exit", "returner=Lsun/misc/PostVMInitHook$2;.run() <BRIDGE>, value=<void>"
"main", "18", "SYSTEM", "Method Exit", "returner=Lsun/misc/PostVMInitHook$2;.run() <BRIDGE>, value=<void>"
"main", "19", "SYSTEM", "Method Exit", "returner=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), value=<void>"
"main", "20", "SYSTEM", "Method Exit", "returner=Lsun/misc/PostVMInitHook;.getEnvPrivileged(Ljava/lang/String;), value=<void>"
"main", "21", "SYSTEM", "Method Exit", "returner=Lsun/misc/PostVMInitHook;.getOSSpecificConfigFilePath(), value=<void>"
"main", "22", "SYSTEM", "Method Exit", "returner=Lsun/misc/PostVMInitHook;.getConfigFilePrivileged(), value=<void>"
"main", "23", "SYSTEM", "Method Call", "caller=Lsun/misc/PostVMInitHook;.trackJavaUsage(), target=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;)"
"main", "24", "SYSTEM", "Method Call", "caller=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), target=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;)"
"main", "25", "SYSTEM", "Method Call", "caller=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), target=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>"
"main", "26", "SYSTEM", "Method Call", "caller=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>, target=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>"
"main", "27", "SYSTEM", "Method Call", "caller=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>, target=Lsun/usagetracker/UsageTrackerClient;.access$000(Lsun/usagetracker/UsageTrackerClient;J) <SYNTHETIC>"
"main", "28", "SYSTEM", "Method Call", "caller=Lsun/usagetracker/UsageTrackerClient;.access$000(Lsun/usagetracker/UsageTrackerClient;J) <SYNTHETIC>, target=Lsun/usagetracker/UsageTrackerClient;.setupAndTimestamp(J)"
"main", "29", "SYSTEM", "Method Call", "caller=Lsun/usagetracker/UsageTrackerClient;.setupAndTimestamp(J), target=Lsun/usagetracker/UsageTrackerClient;.getConfigFilePrivileged()"
"main", "30", "SYSTEM", "Method Call", "caller=Lsun/usagetracker/UsageTrackerClient;.getConfigFilePrivileged(), target=Lsun/usagetracker/UsageTrackerClient;.getOSSpecificConfigFilePath()"
"main", "31", "SYSTEM", "Method Call", "caller=Lsun/usagetracker/UsageTrackerClient;.getOSSpecificConfigFilePath(), target=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;)"
"main", "32", "SYSTEM", "Method Call", "caller=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), target=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;)"
"main", "33", "SYSTEM", "Method Call", "caller=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), target=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>"
"main", "34", "SYSTEM", "Method Call", "caller=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, target=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>"
"main", "35", "SYSTEM", "Method Returned", ""
"main", "36", "SYSTEM", "Method Call", "caller=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, target=jdk.internal.util.EnvUtils#getEnvVar:2"
"main", "37", "SYSTEM", "Method Entered", ""
"main", "38", "SYSTEM", "Variable Write", "context=jdk.internal.util.EnvUtils#getEnvVar:2, result=""C:\Program Files"""
"main", "39", "SYSTEM", "Method Exit", "returner=jdk.internal.util.EnvUtils#getEnvVar:2, value=""C:\Program Files"""
"main", "40", "SYSTEM", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, value=<void>"
"main", "41", "SYSTEM", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, value=<void>"
"main", "42", "SYSTEM", "Method Exit", "returner=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), value=<void>"
"main", "43", "SYSTEM", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), value=<void>"
"main", "44", "SYSTEM", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient;.getOSSpecificConfigFilePath(), value=<void>"
"main", "45", "SYSTEM", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient;.getConfigFilePrivileged(), value=<void>"
"main", "46", "SYSTEM", "Method Call", "caller=Lsun/usagetracker/UsageTrackerClient;.setupAndTimestamp(J), target=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;)"
"main", "47", "SYSTEM", "Method Call", "caller=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), target=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;)"
"main", "48", "SYSTEM", "Method Call", "caller=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), target=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;)"
"main", "49", "SYSTEM", "Method Call", "caller=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), target=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>"
"main", "50", "SYSTEM", "Method Call", "caller=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, target=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>"
"main", "51", "SYSTEM", "Method Returned", ""
"main", "52", "SYSTEM", "Method Call", "caller=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, target=jdk.internal.util.EnvUtils#getEnvVar:3"
"main", "53", "SYSTEM", "Method Entered", ""
"main", "54", "SYSTEM", "Variable Write", "context=jdk.internal.util.EnvUtils#getEnvVar:3, result=""C:\ProgramData"""
"main", "55", "SYSTEM", "Method Exit", "returner=jdk.internal.util.EnvUtils#getEnvVar:3, value=""C:\ProgramData"""
"main", "56", "SYSTEM", "Type Load", "class=A5_Part2"
"main", "57", "A5_Part2.java:17", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, value=<void>"
"main", "58", "A5_Part2.java:17", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, value=<void>"
"main", "59", "A5_Part2.java:17", "Method Exit", "returner=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), value=<void>"
"main", "60", "A5_Part2.java:17", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), value=<void>"
"main", "61", "A5_Part2.java:17", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), value=<void>"
"main", "62", "A5_Part2.java:17", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient;.setupAndTimestamp(J), value=<void>"
"main", "63", "SYSTEM", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient;.access$000(Lsun/usagetracker/UsageTrackerClient;J) <SYNTHETIC>, value=<void>"
"main", "64", "A5_Part2.java:17", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>, value=<void>"
"main", "65", "A5_Part2.java:17", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>, value=<void>"
"main", "66", "A5_Part2.java:17", "Method Exit", "returner=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), value=<void>"
"main", "67", "A5_Part2.java:17", "Method Exit", "returner=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), value=<void>"
"main", "68", "A5_Part2.java:17", "Method Exit", "returner=Lsun/misc/PostVMInitHook;.trackJavaUsage(), value=<void>"
"main", "69", "A5_Part2.java:17", "Method Exit", "returner=Lsun/misc/PostVMInitHook;.trackJavaUsage(), value=<void>"
"main", "70", "SYSTEM", "Method Returned", ""
"main", "71", "A5_Part2.java:17", "Method Call", "caller=SYSTEM, target=A5_Part2#main:1"
"main", "72", "A5_Part2.java:15", "Method Entered", ""
"main", "73", "A5_Part2.java:15", "Variable Write", "context=A5_Part2#main:1, args=java.lang.String[0] (id=41)"
"main", "74", "A5_Part2.java:17", "Line Step", "file=A5_Part2.java, line=17"
"main", "75", "SYSTEM", "Type Load", "class=Scheduler.Process"
"main", "76", "SYSTEM", "Type Load", "class=Producer"
"main", "77", "A5_Part2.java:17", "New Object", "object=Producer:1"
"main", "78", "A5_Part2.java:17", "Method Call", "caller=A5_Part2#main:1, target=Producer:1#Producer:1"
"main", "79", "A5_Part2.java:30", "Method Entered", ""
"main", "80", "A5_Part2.java:30", "Line Step", "file=A5_Part2.java, line=30"
"main", "81", "A5_Part2.java:30", "Method Exit", "returner=Producer:1#Producer:1, value=<void>"
"main", "82", "A5_Part2.java:17", "Method Returned", ""
"main", "83", "A5_Part2.java:17", "Line Step", "file=A5_Part2.java, line=17"
"main", "84", "A5_Part2.java:17", "Variable Write", "context=A5_Part2#main:1, p=Producer:1"
"main", "85", "A5_Part2.java:18", "Line Step", "file=A5_Part2.java, line=18"
"main", "86", "SYSTEM", "Type Load", "class=Consumer"
"main", "87", "A5_Part2.java:18", "New Object", "object=Consumer:1"
"main", "88", "A5_Part2.java:18", "Method Call", "caller=A5_Part2#main:1, target=Consumer:1#Consumer:1"
"main", "89", "A5_Part2.java:39", "Method Entered", ""
"main", "90", "A5_Part2.java:39", "Line Step", "file=A5_Part2.java, line=39"
"main", "91", "A5_Part2.java:39", "Method Exit", "returner=Consumer:1#Consumer:1, value=<void>"
"main", "92", "A5_Part2.java:18", "Method Returned", ""
"main", "93", "A5_Part2.java:18", "Line Step", "file=A5_Part2.java, line=18"
"main", "94", "A5_Part2.java:18", "Variable Write", "context=A5_Part2#main:1, c=Consumer:1"
"main", "95", "A5_Part2.java:19", "Line Step", "file=A5_Part2.java, line=19"
"main", "96", "SYSTEM", "Type Load", "class=Circular_Buffer"
"main", "97", "A5_Part2.java:19", "New Object", "object=Circular_Buffer:1"
"main", "98", "A5_Part2.java:19", "Method Call", "caller=A5_Part2#main:1, target=Circular_Buffer:1#Circular_Buffer:1"
"main", "99", "A5_Part2.java:56", "Method Entered", ""
"main", "100", "A5_Part2.java:54", "Line Step", "file=A5_Part2.java, line=54"
"main", "101", "A5_Part2.java:56", "Line Step", "file=A5_Part2.java, line=56"
"main", "102", "A5_Part2.java:56", "Field Write", "context=Circular_Buffer:1, n=5"
"main", "103", "A5_Part2.java:57", "Line Step", "file=A5_Part2.java, line=57"
"main", "104", "A5_Part2.java:57", "Field Write", "context=Circular_Buffer:1, data=int[5] (id=56)"
"main", "105", "A5_Part2.java:58", "Line Step", "file=A5_Part2.java, line=58"
"main", "106", "A5_Part2.java:58", "Field Write", "context=Circular_Buffer:1, p=0"
"main", "107", "A5_Part2.java:59", "Line Step", "file=A5_Part2.java, line=59"
"main", "108", "A5_Part2.java:59", "Field Write", "context=Circular_Buffer:1, g=0"
"main", "109", "A5_Part2.java:60", "Line Step", "file=A5_Part2.java, line=60"
"main", "110", "A5_Part2.java:60", "Field Write", "context=Circular_Buffer:1, count=0"
"main", "111", "A5_Part2.java:54", "Line Step", "file=A5_Part2.java, line=54"
"main", "112", "A5_Part2.java:54", "Method Exit", "returner=Circular_Buffer:1#Circular_Buffer:1, value=<void>"
"main", "113", "A5_Part2.java:19", "Method Returned", ""
"main", "114", "A5_Part2.java:19", "Line Step", "file=A5_Part2.java, line=19"
"main", "115", "A5_Part2.java:19", "Variable Write", "context=A5_Part2#main:1, b=Circular_Buffer:1"
"main", "116", "A5_Part2.java:21", "Line Step", "file=A5_Part2.java, line=21"
"main", "117", "A5_Part2.java:21", "Variable Write", "context=A5_Part2#main:1, arr=Scheduler.Process[3] (id=58)"
"main", "118", "A5_Part2.java:22", "Line Step", "file=A5_Part2.java, line=22"
"Thread-1", "119", "SYSTEM", "Thread Start", "Thread-1 (61)"
"Thread-1", "120", "SYSTEM", "Method Call", "caller=SYSTEM, target=LProducer;.run()"
"Thread-1", "121", "SYSTEM", "Method Call", "caller=LProducer;.run(), target=Producer:1#run:1"
"Thread-1", "122", "A5_Part2.java:32", "Method Entered", ""
"Thread-2", "123", "SYSTEM", "Thread Start", "Thread-2 (62)"
"Thread-2", "124", "SYSTEM", "Method Call", "caller=SYSTEM, target=LConsumer;.run()"
"Thread-2", "125", "SYSTEM", "Method Call", "caller=LConsumer;.run(), target=Consumer:1#run:1"
"Thread-2", "126", "A5_Part2.java:41", "Method Entered", ""
"main", "127", "A5_Part2.java:22", "Variable Write", "context=A5_Part2#main:1, s=Scheduler.Scheduler (name=Thread-0, id=64)"
"main", "128", "A5_Part2.java:25", "Line Step", "file=A5_Part2.java, line=25"
"Thread-3", "129", "SYSTEM", "Thread Start", "Thread-3 (63)"
"Thread-3", "130", "SYSTEM", "Method Call", "caller=SYSTEM, target=LCircular_Buffer;.run()"
"Thread-3", "131", "SYSTEM", "Method Call", "caller=LCircular_Buffer;.run(), target=Circular_Buffer:1#run:1"
"Thread-3", "132", "A5_Part2.java:80", "Method Entered", ""
"Thread-1", "133", "A5_Part2.java:32", "Variable Write", "context=Producer:1#run:1, v=1"
"Thread-1", "134", "A5_Part2.java:34", "Line Step", "file=A5_Part2.java, line=34"
"main", "135", "A5_Part2.java:27", "Line Step", "file=A5_Part2.java, line=27"
"Thread-3", "136", "A5_Part2.java:82", "Field Read", "context=Circular_Buffer:1, count"
"main", "137", "A5_Part2.java:27", "Method Exit", "returner=A5_Part2#main:1, value=<void>"
"Thread-3", "138", "A5_Part2.java:83", "Line Step", "file=A5_Part2.java, line=83"
"main", "139", "A5_Part2.java:17", "Method Returned", ""
"main", "140", "SYSTEM", "Thread End", ""
"Thread-2", "141", "A5_Part2.java:44", "Line Step", "file=A5_Part2.java, line=44"
"Thread-2", "142", "A5_Part2.java:46", "Line Step", "file=A5_Part2.java, line=46"
"Thread-3", "143", "A5_Part2.java:84", "Line Step", "file=A5_Part2.java, line=84"
"Thread-1", "144", "A5_Part2.java:33", "Line Step", "file=A5_Part2.java, line=33"
"Thread-3", "145", "A5_Part2.java:84", "Variable Write", "context=Circular_Buffer:1#run:1, data=1"
"Thread-3", "146", "A5_Part2.java:85", "Line Step", "file=A5_Part2.java, line=85"
"Thread-1", "147", "A5_Part2.java:33", "Variable Write", "context=Producer:1#run:1, v=2"
"Thread-1", "148", "A5_Part2.java:34", "Line Step", "file=A5_Part2.java, line=34"
"Thread-3", "149", "A5_Part2.java:85", "Method Call", "caller=Circular_Buffer:1#run:1, target=Circular_Buffer:1#put:1"
"Thread-3", "150", "A5_Part2.java:63", "Method Entered", ""
"Thread-3", "151", "A5_Part2.java:63", "Variable Write", "context=Circular_Buffer:1#put:1, v=1"
"Thread-3", "152", "A5_Part2.java:64", "Line Step", "file=A5_Part2.java, line=64"
"Thread-3", "153", "A5_Part2.java:64", "Field Read", "context=Circular_Buffer:1, data"
"Thread-3", "154", "A5_Part2.java:64", "Field Read", "context=Circular_Buffer:1, p"
"Thread-3", "155", "A5_Part2.java:65", "Line Step", "file=A5_Part2.java, line=65"
"Thread-3", "156", "A5_Part2.java:65", "Field Read", "context=Circular_Buffer:1, p"
"Thread-3", "157", "A5_Part2.java:65", "Field Write", "context=Circular_Buffer:1, p=1"
"Thread-3", "158", "A5_Part2.java:66", "Line Step", "file=A5_Part2.java, line=66"
"Thread-3", "159", "A5_Part2.java:66", "Field Write", "context=Circular_Buffer:1, state=""Put:1"""
"Thread-3", "160", "A5_Part2.java:67", "Line Step", "file=A5_Part2.java, line=67"
"Thread-3", "161", "A5_Part2.java:67", "Field Read", "context=Circular_Buffer:1, state"
"Thread-3", "162", "A5_Part2.java:68", "Line Step", "file=A5_Part2.java, line=68"
"Thread-3", "163", "A5_Part2.java:68", "Field Read", "context=Circular_Buffer:1, count"
"Thread-3", "164", "A5_Part2.java:68", "Field Write", "context=Circular_Buffer:1, count=1"
"Thread-3", "165", "A5_Part2.java:69", "Line Step", "file=A5_Part2.java, line=69"
"Thread-3", "166", "A5_Part2.java:69", "Method Exit", "returner=Circular_Buffer:1#put:1, value=<void>"
"Thread-3", "167", "A5_Part2.java:85", "Method Returned", ""
"Thread-3", "168", "A5_Part2.java:86", "Line Step", "file=A5_Part2.java, line=86"
"Thread-3", "169", "A5_Part2.java:82", "Line Step", "file=A5_Part2.java, line=82"
"Thread-3", "170", "A5_Part2.java:82", "Field Read", "context=Circular_Buffer:1, count"
"Thread-3", "171", "A5_Part2.java:82", "Variable Delete", "method=Circular_Buffer:1#run:1 <name=data,type=int (id=7),value=<?>,index=0>"
"Thread-3", "172", "A5_Part2.java:86", "Line Step", "file=A5_Part2.java, line=86"
"Thread-3", "173", "A5_Part2.java:86", "Field Read", "context=Circular_Buffer:1, count"
"Thread-3", "174", "A5_Part2.java:89", "Line Step", "file=A5_Part2.java, line=89"
"Thread-3", "175", "A5_Part2.java:89", "Field Read", "context=Circular_Buffer:1, data"
"Thread-3", "176", "A5_Part2.java:89", "Field Read", "context=Circular_Buffer:1, g"
"Thread-2", "177", "A5_Part2.java:47", "Line Step", "file=A5_Part2.java, line=47"
"Thread-3", "178", "A5_Part2.java:90", "Line Step", "file=A5_Part2.java, line=90"
"Thread-2", "179", "A5_Part2.java:42", "Line Step", "file=A5_Part2.java, line=42"
"Thread-3", "180", "A5_Part2.java:93", "Line Step", "file=A5_Part2.java, line=93"
"Thread-2", "181", "A5_Part2.java:43", "Line Step", "file=A5_Part2.java, line=43"
"Thread-3", "182", "A5_Part2.java:94", "Line Step", "file=A5_Part2.java, line=94"
"Thread-3", "183", "A5_Part2.java:94", "Method Call", "caller=Circular_Buffer:1#run:1, target=Circular_Buffer:1#get:1"
"Thread-3", "184", "A5_Part2.java:71", "Method Entered", ""
"Thread-3", "185", "A5_Part2.java:72", "Line Step", "file=A5_Part2.java, line=72"
"Thread-3", "186", "A5_Part2.java:72", "Field Read", "context=Circular_Buffer:1, data"
"Thread-3", "187", "A5_Part2.java:72", "Field Read", "context=Circular_Buffer:1, g"
